,nome,nos,arcos,a/g,gmax,gmin,max_fm,max_cmin,nreq,mreq,max_reqs,max_reqc,std_reqs,std_reqc,LB,obj,metodo,tempo,semente,GAP
0,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,135,kapov_bfd cm,85.75416493415833,1000,0.046511627906976744
1,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,136,kapov_bfd fm,85.41368770599365,1000,0.05426356589147287
2,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,135,kapov_bfd cm_fm,85.8581759929657,1000,0.046511627906976744
3,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,135,kapov_bfd fm_cm,86.70231819152832,1000,0.046511627906976744
4,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,135,kapov_ffd cm,85.83369731903076,1000,0.046511627906976744
5,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,139,kapov_ffd fm,85.12131690979004,1000,0.07751937984496124
6,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,135,kapov_ffd cm_fm,86.32304501533508,1000,0.046511627906976744
7,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,135,kapov_ffd fm_cm,85.93327403068542,1000,0.046511627906976744
8,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,136,criaantes_bfd cm,87.3131160736084,1000,0.05426356589147287
9,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,137,criaantes_bfd fm,85.966299533844,1000,0.06201550387596899
10,mesh8x13.80,104,416,4.0,8,8,4,10,7959,76.52884615384616,88,88,15.877539078818309,15.962916206049078,129,136,criaantes_bfd cm_fm,87.01578044891357,1000,0.05426356589147287
