;nome;nos;arcos;a/g;gmax;gmin;max_fm;max_cmin;nreq;mreq;max_reqs;max_reqc;std_reqs;std_reqc;obj;metodo;tempo
0;att;90;274;30.444.444.444.444.400;12;4;6;11;359;3.988.888.888.888.880;32;28;8.559.762.734.877.830;8.501.810.044.482.250;26;kapov_ffd fm;0.7498230934143066
1;att2;71;350;4.929.577.464.788.730;26;4;9;7;2918;41.098.591.549.295.700;72;79;20.096.307.357.733.600;1.960.113.329.783.140;114;kapov_bfd cm;11.343.350.172.042.800
2;brasil;27;140;5.185.185.185.185.180;20;4;9;6;1370;5.074.074.074.074.070;64;72;4.950.466.897.891.800;78.622.398.090.375.500;48;kapov_bfd cm;0.8747906684875488
3;eon;20;78;3.9;14;4;7;5;373;18.65;27;26;4.145.701.642.094.270;4.738.143.096.192.850;22;kapov_bfd cm;0.21869802474975586
4;fin;31;102;32.903.225.806.451.600;12;4;5;7;930;30.0;30;30;0.0;0.0;47;kapov_bfd cm;11.247.303.485.870.300
5;giul;39;172;4.410.256.410.256.410;16;6;7;6;14732;3.777.435.897.435.890;547;547;10.844.831.850.598.000;10.844.831.850.598.000;398;kapov_ffd cm;19.658.320.426.940.900
6;mesh10x10.100;100;400;4.0;8;8;4;10;9900;99.0;99;99;0.0;0.0;141;kapov_bfd cm;3.459.013.891.220.090
7;mesh10x10.20;100;400;4.0;8;8;4;10;1975;19.75;28;31;3.459.360.015.547.920;3.693.770.349.377.360;32;kapov_bfd cm;6.344.542.026.519.770
8;mesh10x10.40;100;400;4.0;8;8;4;10;3894;38.94;48;49;456.561.589.326.659;483.008.250.133.442;58;kapov_bfd cm;12.718.071.460.723.800
9;mesh10x10.60;100;400;4.0;8;8;4;10;5967;59.67;70;70;4.548.404.093.523.330;4.681.912.326.208.490;87;kapov_bfd cm;1.993.508.243.560.790
10;mesh10x10.80;100;400;4.0;8;8;4;10;7959;79.59;88;88;4.022.901.611.242.480;436.027.753.726.987;115;kapov_bfd cm;2.725.045.132.637.020
11;mesh4x25.100;100;400;4.0;8;8;4;14;9900;99.0;99;99;0.0;0.0;320;kapov_bfd cm;52.418.665.409.088.100
12;mesh4x25.20;100;400;4.0;8;8;4;14;1975;19.75;28;31;3.459.360.015.547.920;3.693.770.349.377.360;69;kapov_ffd cm;7.201.423.168.182.370
13;mesh4x25.40;100;400;4.0;8;8;4;14;3894;38.94;48;49;456.561.589.326.659;483.008.250.133.442;130;kapov_ffd cm;1.553.214.979.171.750
14;mesh4x25.60;100;400;4.0;8;8;4;14;5967;59.67;70;70;4.548.404.093.523.330;4.681.912.326.208.490;197;kapov_ffd cm;260.290.584.564.209
